strategy,weights,short_window,vol_window,trend_window,full_cagr,full_return,full_mdd,full_sharpe,test_cagr,test_return,test_mdd,test_sharpe,trades
top1_short30_riskadj_rocfilter_w1_1_2_trend200_vol18_posscore,1_1_2,30,18,200,0.11952845963514469,19.00597146628049,-0.6589927592881888,0.5172808510846426,0.24517073052422456,4.827487395694042,-0.3633604674512261,0.8680090626189085,346
top1_short21_riskadj_rocfilter_w1_1_2_trend200_vol14_posscore,1_1_2,21,14,200,0.18491820201536502,89.22758459676263,-0.5093200887337423,0.7084297510507914,0.24493310191134565,4.818553819585031,-0.28938930728251444,0.8858150512754752,356
top1_short21_riskadj_rocfilter_w1_1_1_trend200_vol14_posscore,1_1_1,21,14,200,0.17669146801010993,73.99803127589037,-0.473002322944014,0.685028114741434,0.24493310191134565,4.818553819585031,-0.28938930728251444,0.8858150512754752,355
top1_short21_riskadj_rocfilter_w2_1_1_trend200_vol14_posscore,2_1_1,21,14,200,0.15344766884537409,43.170228911434705,-0.509428679837016,0.6223015900336646,0.24493310191134565,4.818553819585031,-0.28938930728251444,0.8858150512754752,354
top1_short21_riskadj_rocfilter_w1_1_2_trend200_vol21_posscore,1_1_2,21,21,200,0.16601404001541242,57.88456373215357,-0.5979690463885955,0.6479146701277774,0.24439677339716104,4.798434772924654,-0.28938930728251444,0.875467841390644,362
top1_short21_riskadj_rocfilter_w1_1_1_trend200_vol21_posscore,1_1_1,21,21,200,0.15769054653790882,47.690308739361505,-0.5682014974173518,0.6245169673628944,0.24439677339716104,4.798434772924654,-0.28938930728251444,0.875467841390644,362
top1_short21_riskadj_rocfilter_w2_1_1_trend200_vol21_posscore,2_1_1,21,21,200,0.13809530135446235,29.953801375454564,-0.5979473134320898,0.5721578907167095,0.24439677339716104,4.798434772924654,-0.28938930728251444,0.875467841390644,361
top1_short22_riskadj_rocfilter_w2_1_1_trend0_vol7_posscore,2_1_1,22,7,0,0.08746384877445856,8.252872284577364,-0.8596666872863089,0.42149440435276003,0.24430908559513909,4.795151180724532,-0.2977075859908229,0.850853233998063,377
top1_short20_riskadj_rocfilter_w1_1_1_trend200_vol21_posscore,1_1_1,20,21,200,0.1538594367831596,43.590556794795916,-0.5960152000814644,0.6105825477777812,0.2437882551095445,4.775681489413134,-0.3057846026088519,0.8625171712390529,357
top1_short20_riskadj_rocfilter_w2_1_1_trend200_vol21_posscore,2_1_1,20,21,200,0.1389590847412827,30.58327502026314,-0.6207563884431778,0.5719044146594613,0.2437882551095445,4.775681489413134,-0.3057846026088519,0.8625171712390529,350
top1_short20_riskadj_rocfilter_w1_1_2_trend200_vol16_posscore,1_1_2,20,16,200,0.16984748381549353,63.24310814825343,-0.6226128096116996,0.6601746071024055,0.2414524696047109,4.689067757832362,-0.3059879087585665,0.8665060393868553,353
top1_short24_riskadj_rocfilter_w1_1_1_trend200_vol14_posscore,1_1_1,24,14,200,0.15823057577943467,48.29659706140862,-0.6831762707559103,0.6350704433681966,0.24092652568887285,4.669722752627059,-0.4886478474113196,0.8891799232329363,335
top1_short24_riskadj_rocfilter_w2_1_1_trend200_vol14_posscore,2_1_1,24,14,200,0.13598627607129,28.467184029772294,-0.7079961822055199,0.5740505541507606,0.24092652568887285,4.669722752627059,-0.4886478474113196,0.8891799232329363,335
