ticker,label,strategy,params,year,start,end,strategy_return,buy_hold_return,excess_return,trades,exposure,start_equity,end_equity,bh_start_equity,bh_end_equity
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2000,2000-01-03,2000-12-29,2.0523638492341867,2.7099655428050626,-0.657601693570876,9,0.5038461538461538,10000.0,30523.638492341866,9975.052524008677,37007.10115174286
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2001,2001-01-01,2001-12-31,0.3840527273131078,0.4230763271372273,-0.039023599824119515,4,0.8160919540229885,30523.638492341866,42246.32510284512,37007.10115174286,52663.929585018086
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2002,2002-01-01,2002-12-31,0.06965701027162119,0.4378381571006935,-0.3681811468290723,10,0.7471264367816092,42246.32510284512,45189.07780447225,52663.929585018086,75722.20746020309
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2003,2003-01-01,2003-12-31,0.7056781201984137,0.9980443157725578,-0.2923661955741441,8,0.8812260536398467,45189.07780447225,77078.02128303208,75722.20746020309,151296.32619360916
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2004,2004-01-01,2004-12-31,0.6222332180011951,0.6085269257765804,0.013706292224614725,6,0.9042145593869731,77078.02128303208,125038.52650313775,151296.32619360916,243364.21445349685
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2005,2005-01-03,2005-12-29,-0.04706147694219609,0.09385740790858854,-0.14091888485078463,10,0.7751004016064257,122628.23858933846,116857.17256650419,238672.8796098613,261074.0974281215
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2006,2006-01-02,2006-12-28,0.5896273909758198,0.5833614449130697,0.006265946062750105,4,0.6085271317829457,116187.88591966123,184695.44595746728,259578.7486169719,411006.9824788951
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2007,2007-01-02,2007-12-28,0.008679774979513777,0.36612025397867654,-0.35744047899916276,10,0.8979591836734694,184458.2881319973,186059.34456608936,410479.2067144298,560763.9581296825
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2008,2008-01-02,2008-12-30,0.041207783786087804,-0.41003670050090457,0.4512444842869924,8,0.6546184738955824,178836.00722478077,186205.44274366676,538993.1127164745,317986.1551854991
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2009,2009-01-02,2009-12-30,0.7319745410395451,0.7404816623758093,-0.00850712133626419,6,0.8991935483870968,198876.38392484962,344448.8337718458,339625.02494791977,591111.1280057811
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2010,2010-01-04,2010-12-30,-0.2334670161857162,-0.2549978439427546,0.021530827757038407,12,0.7489878542510121,346140.3325282545,265327.9819113513,594013.9581296825,442541.67953471176
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2011,2011-01-03,2011-12-29,-0.34768539415586264,-0.28488026715632153,-0.0628051269995411,16,0.6465863453815262,271023.7124926349,176792.72618904794,452041.7067144298,323263.94453982345
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2012,2012-01-02,2012-12-28,0.02856611820805277,0.23775094001323693,-0.20918482180518416,6,0.9061224489795918,179679.06438484872,184811.79777757864,328541.7021844768,406652.8007123851
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2013,2013-01-02,2013-12-30,-0.19059332722199518,-0.07195573522198473,-0.11863759200001045,10,0.7419354838709677,195005.73069517355,157838.93965462406,429083.3658311748,398208.35677126877
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2014,2014-01-02,2014-12-30,-0.3581518970705946,-0.4629258100821997,0.1047739130116051,16,0.4798387096774194,156583.80158547123,100503.01599710913,395041.7021844768,212166.70218447677
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2015,2015-01-02,2015-12-30,-0.5517067242503053,-0.5781817842154169,0.02647505996511157,11,0.573170731707317,103128.0210038993,46231.598357421324,217708.37942103378,91833.36016873352
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2016,2016-01-04,2016-12-29,2.278892158260222,1.3723715907875778,0.9065205674726444,7,0.7911646586345381,46231.598357421324,151588.42531798495,87875.04986266128,208472.27183321945
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2017,2017-01-02,2017-12-29,0.37710887280912186,0.35202080547764303,0.025088067331478836,6,0.8661417322834646,147175.14566300524,202676.19894949946,202402.8029773616,273652.8007123851
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2018,2018-01-02,2018-12-28,0.1227195645522301,0.1249999496941423,-0.0022803851419122,5,0.8821138211382114,212643.87456290278,238739.43825396127,287111.1461255931,323000.02494791977
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2019,2019-01-02,2019-12-30,0.2941900345385562,0.3776167135306676,-0.08342667899211142,11,0.7540322580645161,238739.43825396127,308974.20183960965,327750.0385377788,451513.93094996444
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2020,2020-01-02,2020-12-30,0.8261926843398311,0.1503120013433703,0.6758806829964608,4,0.8870967741935484,318364.3147021966,581394.5824640152,465236.1325357341,535166.7067144298
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2021,2021-01-04,2021-12-30,0.10247360912236414,0.05990565741564158,0.04256795170672256,4,0.680161943319838,607769.344400203,670049.6626348249,559444.4552991771,592958.3431814098
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2022,2022-01-03,2022-12-29,0.13079779707149575,0.0951742187792266,0.03562357829226914,6,0.84,667365.9585866681,754655.9558103114,590583.3522413158,646791.6614148997
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2023,2023-01-02,2023-12-28,-0.1404479460280844,-0.05064990577488204,-0.08979804025320237,10,0.6693548387096774,758042.8819654017,651577.3161921514,649694.4915388011,616787.526759901
GGBR3,breakout_5_20,breakout,lookback=5;exit_lookback=20,2024,2024-01-02,2024-12-30,-0.06244558241903786,0.00927274084584484,-0.0717183232648827,11,0.7410358565737052,643816.9479746831,603613.4236871566,609583.3431814098,615235.8515466746
