date,equity,cash,invested_weight,positions,selected,trade_count,turnover,dividend_cash
2008-09-23,86751.59185679497,5.694697218554211,0.9999343562798484,1,TUPY3,0,0.0,0.0
2008-09-24,83773.19469721855,5.694697218554211,0.9999320224417949,1,TUPY3,0,0.0,0.0
2008-09-25,92460.1923301989,5.694697218554211,0.9999384091999483,1,TUPY3,0,0.0,0.0
2008-09-26,92460.1923301989,5.694697218554211,0.9999384091999483,1,TUPY3,0,0.0,0.0
2008-09-29,89978.19469721855,5.694697218554211,0.9999367102525483,1,TUPY3,0,0.0,0.0
2008-09-30,89047.44706423821,5.694697218554211,0.9999360487312517,1,TUPY3,0,0.0,0.0
2008-10-01,83563.85971471856,83563.85971471856,0.0,0,,1,0.9994320564305741,0.0
2008-10-02,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-03,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-06,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-07,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-08,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-09,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-10,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-13,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-14,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-15,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-16,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-17,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-20,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-21,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-22,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-23,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-24,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-27,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-28,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-29,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-30,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-10-31,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-03,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-04,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-05,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-06,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-07,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
2008-11-10,83563.85971471856,83563.85971471856,0.0,0,,0,0.0,0.0
